iteration,1,2,3
1,38443,18347,9224
2,35178,26561,13988
3,32343,26042,17568
4,29769,24012,21407
5,27134,21802,25681
6,24687,19440,30247
7,22493,16388,34873
8,20590,12943,39368
9,18836,9599,43659
10,17535,6860,47169
11,16610,4570,50085
12,15831,2826,52481
13,15435,1753,54061
14,15167,985,55255
15,15117,537,55982
16,15131,297,56476
17,15231,172,56805
18,15383,93,57000
19,15543,62,57094
20,15704,45,57155
21,15882,29,57200
22,16084,20,57227
23,16280,10,57255
24,16450,7,57266
25,16617,6,57280
26,16802,2,57287
27,16981,1,57289
28,17172,1,57291
29,17331,1,57293
30,17511,1,57295
31,17663,1,57296
32,17829,0,57296
33,18007,0,57296
34,18151,0,57296
35,18317,0,57296
36,18468,0,57296
37,18623,1,57296
38,18759,0,57298
39,18897,0,57298
40,19021,0,57298
41,19163,1,57298
42,19278,0,57298
43,19393,0,57298
44,19498,0,57298
45,19619,0,57298
46,19739,0,57298
47,19880,0,57298
48,19983,0,57298
49,20081,0,57298
50,20184,0,57298
51,20272,0,57298
52,20368,0,57298
53,20459,0,57298
54,20546,0,57298
55,20626,0,57298
56,20687,0,57298
57,20757,0,57298
58,20836,0,57298
59,20881,0,57298
60,20941,0,57298
61,21002,0,57298
62,21060,1,57298
63,21111,0,57298
64,21157,1,57298
65,21213,0,57298
66,21266,0,57298
67,21318,0,57298
68,21372,0,57298
69,21422,0,57294
70,21470,0,57297
71,21507,0,57297
72,21560,0,57297
73,21586,0,57297
74,21622,0,57297
75,21652,0,57297
76,21691,0,57297
77,21726,0,57297
78,21767,0,57297
79,21805,0,57297
80,21832,0,57297
81,21858,0,57297
82,21891,0,57297
83,21921,0,57297
84,21942,0,57296
85,21968,0,57294
86,21999,0,57294
87,22019,0,57294
88,22040,0,57294
89,22065,0,57294
90,22092,0,57294
91,22108,0,57294
92,22127,0,57294
93,22144,0,57293
94,22177,0,57292
95,22190,0,57292
96,22207,0,57292
97,22217,0,57290
98,22239,0,57286
99,22252,0,57282
100,22254,0,57234
101,22241,0,57162
102,22208,0,57007
103,22118,0,56792
104,21997,0,56421
105,21740,0,55800
106,21420,0,54982
107,20943,0,53790
108,20268,0,52686
109,19480,0,51291
110,18597,1,49841
111,17582,1,48369
112,16558,0,47031
113,15406,0,45731
114,14363,0,44816
115,13186,0,44145
116,12042,0,43630
117,11015,1,43261
118,10074,0,43097
119,9139,0,43177
120,8347,0,43307
121,7609,0,43446
122,7005,0,43611
123,6464,0,43733
124,6037,0,43677
125,5630,0,43705
126,5330,1,43598
127,4958,0,43568
128,4674,0,43601
129,4415,0,43700
130,4226,0,43842
131,4093,1,44031
132,4010,2,44213
133,3962,2,44375
134,3942,2,44535
135,3951,0,44707
136,3993,1,44842
137,4047,1,44973
138,4142,0,45111
139,4225,1,45225
140,4309,2,45319
141,4436,0,45398
142,4553,1,45498
143,4684,1,45575
144,4800,2,45631
145,4975,0,45707
146,5126,0,45779
147,5294,0,45829
148,5493,0,45868
149,5677,1,45909
150,5903,0,45951
151,6088,0,45986
152,6293,0,46026
153,6521,2,46057
154,6771,2,46103
155,7008,1,46143
156,7216,1,46177
157,7448,0,46198
158,7677,0,46215
159,7932,0,46238
160,8180,0,46272
161,8398,0,46294
162,8653,1,46312
163,8876,0,46333
164,9104,0,46355
165,9360,1,46372
166,9607,0,46383
167,9898,0,46388
168,10149,1,46400
169,10394,1,46416
170,10662,0,46426
171,10935,2,46440
172,11202,2,46445
173,11476,1,46455
174,11782,0,46462
175,12073,0,46470
176,12345,0,46477
177,12655,0,46482
178,12949,0,46485
179,13205,0,46487
180,13520,1,46499
181,13828,1,46503
182,14119,1,46505
183,14401,1,46508
184,14694,1,46502
185,14959,1,46504
186,15238,0,46505
187,15537,0,46513
188,15799,0,46518
189,16082,1,46518
190,16408,2,46514
191,16697,2,46511
192,16928,1,46514
193,17214,2,46517
194,17470,0,46527
195,17714,0,46528
196,17968,0,46527
197,18253,2,46527
198,18517,0,46533
199,18781,0,46540
200,19048,0,46548
201,19272,0,46538
202,19547,0,46536
203,19816,0,46535
204,20083,0,46534
205,20309,0,46540
206,20548,0,46537
207,20768,0,46534
208,21007,0,46534
209,21227,0,46502
210,21422,0,46460
211,21591,1,46353
212,21760,0,46175
213,21790,0,45909
214,21789,0,45505
215,21621,0,44999
216,21263,0,44326
217,20666,0,43572
218,19885,1,42880
219,18850,1,42256
220,17608,2,41789
221,16257,3,41623
222,15018,3,41637
223,13751,4,41792
224,12531,2,42221
225,11576,0,42673
226,10603,1,43249
227,9835,0,43731
228,9226,1,44070
229,8675,1,44472
230,8241,1,44846
231,7864,1,45050
232,7545,0,45238
233,7260,0,45410
234,7001,0,45551
235,6847,0,45636
236,6688,0,45659
237,6543,1,45716
238,6397,3,45815
239,6295,0,45857
240,6202,1,45905
241,6174,0,45994
242,6182,0,46009
243,6166,1,46034
244,6175,1,46034
245,6220,1,45986
246,6254,1,45957
247,6262,2,45959
248,6289,2,45970
249,6319,1,45973
250,6365,1,46073
251,6394,1,46174
252,6447,1,46271
253,6503,2,46344
254,6577,0,46410
255,6677,0,46486
256,6814,0,46570
257,6946,1,46634
258,7046,0,46716
259,7198,1,46797
260,7355,1,46864
261,7532,0,46902
262,7688,1,46914
263,7831,0,46946
264,7999,0,46996
265,8194,0,47018
266,8350,1,47060
267,8527,1,47090
268,8722,0,47127
269,8894,0,47173
270,9089,0,47212
271,9254,1,47258
272,9423,1,47312
273,9632,2,47344
274,9837,1,47396
275,9994,2,47442
276,10191,1,47486
277,10407,2,47504
278,10615,3,47506
279,10826,0,47541
280,11075,0,47567
281,11282,0,47587
282,11507,0,47607
283,11676,0,47647
284,11891,0,47673
285,12114,0,47685
286,12323,0,47687
287,12541,1,47705
288,12750,2,47724
289,12944,3,47739
290,13194,2,47753
291,13392,1,47772
292,13604,1,47799
293,13799,2,47801
294,14050,2,47803
295,14230,0,47807
296,14433,0,47838
297,14621,0,47859
298,14803,1,47867
299,15013,0,47883
300,15183,0,47897
301,15383,0,47909
302,15581,1,47922
303,15778,0,47920
304,15974,0,47929
305,16157,0,47935
306,16338,0,47938
307,16506,0,47960
308,16675,3,47965
309,16883,3,47957
310,17051,3,47935
311,17227,1,47940
312,17384,1,47922
313,17584,1,47884
314,17760,1,47851
315,17903,2,47815
316,18066,2,47732
317,18231,1,47624
318,18324,2,47515
319,18416,1,47363
320,18526,0,47133
321,18486,0,46876
322,18451,0,46484
323,18343,0,46030
324,18151,0,45369
325,17798,0,44567
326,17307,0,43875
327,16521,0,43213
328,15742,0,42609
329,14877,0,42128
330,13933,0,41824
331,13013,1,41660
332,12245,0,41529
333,11457,1,41479
334,10760,0,41540
335,10051,0,41713
336,9454,0,41972
337,8880,0,42201
338,8448,1,42333
339,8064,1,42431
340,7718,2,42628
341,7459,0,42783
342,7240,0,42820
343,7053,0,42916
344,6859,0,43013
345,6763,1,43022
346,6623,0,43120
347,6466,0,43240
348,6435,2,43275
349,6399,0,43281
350,6375,0,43294
351,6347,0,43327
352,6325,0,43368
353,6311,2,43346
354,6296,0,43369
355,6286,1,43418
356,6313,0,43423
357,6317,0,43441
358,6329,1,43453
359,6332,0,43523
360,6360,1,43551
361,6416,0,43580
362,6436,1,43627
363,6509,3,43638
364,6586,2,43675
365,6697,2,43678
366,6742,0,43719
367,6823,0,43763
368,6922,1,43804
369,7053,2,43845
370,7162,2,43889
371,7266,1,43921
372,7390,0,43934
373,7493,0,43974
374,7590,1,44047
375,7715,1,44087
376,7839,0,44117
377,7979,0,44175
378,8144,0,44217
379,8296,0,44252
380,8449,1,44281
381,8621,1,44290
382,8771,4,44321
383,8904,1,44344
384,9088,1,44379
385,9254,1,44401
386,9449,1,44426
387,9596,1,44441
388,9769,3,44469
389,9951,3,44503
390,10112,2,44549
391,10294,0,44578
392,10443,1,44597
393,10646,2,44604
394,10804,2,44617
395,11000,2,44627
396,11152,2,44644
397,11327,1,44652
398,11477,1,44674
399,11678,2,44684
400,11839,0,44683
401,12017,1,44679
402,12173,1,44703
403,12342,0,44712
404,12477,1,44716
405,12655,1,44703
406,12804,1,44716
407,12963,2,44708
408,13138,2,44688
409,13277,2,44693
410,13445,2,44686
411,13601,3,44679
412,13740,3,44676
413,13882,2,44666
414,14027,2,44656
415,14178,3,44632
416,14340,2,44579
417,14482,1,44529
418,14621,1,44486
419,14766,0,44410
420,14893,0,44360
421,15016,2,44290
422,15126,2,44249
423,15242,2,44210
424,15379,1,44122
425,15484,2,43984
426,15562,2,43832
427,15625,2,43708
428,15665,2,43546
429,15649,3,43310
430,15627,3,43024
431,15531,3,42742
432,15431,3,42399
433,15235,3,42035
434,14896,2,41592
435,14497,2,41065
436,14058,2,40681
437,13541,1,40369
438,12944,2,40015
439,12301,2,39851
440,11731,1,39721
441,11148,3,39569
442,10594,2,39495
443,10053,1,39479
444,9513,0,39504
445,9017,1,39613
446,8609,0,39802
447,8238,0,40004
448,7936,2,40067
449,7674,1,40127
450,7416,0,40269
451,7178,0,40379
452,7068,0,40435
453,6896,0,40515
454,6775,1,40543
455,6686,0,40561
456,6613,0,40534
457,6529,0,40542
458,6486,0,40532
459,6447,1,40502
460,6402,2,40509
461,6406,4,40532
462,6383,2,40546
463,6335,1,40586
464,6304,1,40609
465,6285,0,40591
466,6276,1,40576
467,6282,1,40594
468,6281,0,40591
469,6297,0,40599
470,6334,0,40584
471,6360,1,40571
472,6385,0,40570
473,6432,1,40584
474,6449,1,40627
475,6471,1,40655
476,6505,1,40686
477,6571,3,40702
478,6645,2,40747
479,6739,3,40791
480,6815,1,40795
481,6897,0,40811
482,7000,3,40809
483,7098,3,40782
484,7193,1,40792
485,7270,2,40791
486,7357,1,40788
487,7468,1,40813
488,7569,1,40811
489,7660,2,40819
490,7779,2,40812
491,7876,1,40798
492,7994,0,40823
493,8123,0,40836
494,8245,0,40844
495,8408,2,40821
496,8553,0,40819
497,8648,0,40846
498,8776,0,40861
499,8910,2,40889
500,9028,3,40912
